Site;Lat;Long;Number;Code
Alaska;64.5742;-149.1195;1;AL
Alberta;53.52398;-113.47652;3;AB
Brazil;-28.0146639;-49.5935611;16;BR
California;37.87245;-122.26438;7;CA
Chicago;42.028325;-87.6879833;9;CG
Chile;-23.6810139;-70.4126;15;CL
Colorado;40.0316667;-105.5372222;8;CO
Denmark;56.2930556;10.611111;22;DK
Egypt;30.0166667;31.2;38;EG
England;51.4418583;-0.9410444;20;EN
Estonia;59.4422222;24.7505556;26;ET
Finland;60.2108333;25.0975;25;FI
Florida;25.682456;-80.278343;13;FL
France1;45.9222222;6.4480556;27;FR1
France2;45.1558333;3.6247222;28;FR2
Gibraltar;36.1423806;-5.3592028;32;GB
GranCanaria;28.115;-15.5938889;34;GC
Greece;35.4869444;23.688055;37;GR
Greenland;60.7188889;-46.0375;17;GL
Hawaii;21.0833333;-156.7666667;54;HA
Iceland;64.1431148;-21.9352778;18;IC
Iran1;34.7933611;48.5037778;42;IR1
Iran2;36.6742222;51.5581389;43;IR2
Ireland;53.3772222;-6.3;19;IE
Italy;41.1166667;16.8666667;36;IT
Japan;35.7737;140.7528;45;JA
Melbourne;-37.6976;143.386695;48;ME
Morocco;31.2955556;-7.8719444;33;MO
Netherlands;53.253704;5.886092;21;NE
NewBrunswick;45.907548;-64.368625;11;NB
NewZealand;-41.29774;174.76721;47;NZ
NewFoundland;47.495;-52.7947222;12;NF
NorthDakota;48.9629;-98.1247;6;ND
Norway;59.894956;10.675849;24;NO
Ontario;43.2691667;-79.9041667;10;ON
Perth;-31.9815;116.190076;49;PR
Peru;-10.35866;-74.690533;14;PE
Portugal;39.6753583;-8.2887583;29;PT
Russia;43.8919861;42.7937833;40;RU
SouthAfrica;-29.795362;30.19068;50;ZA
SouthKorea;37.2316111;126.6073889;44;KR
Spain1;40.963195;0.322406;30;ES1
Spain2;37.0447222;-4.703611;31;ES2
Sweden;57.6438889;18.3013889;23;SE
Tenerife;28.1055556;-16.7425;35;TE
Turkey;41.0208889;41.0410278;41;TR
Ukraine;50.4973583;30.1693833;39;UA
Vancouver;49.263;-123.2503;4;VA
Washington;47.44539;-121.42326;5;WA
Yukon;67.56652;-139.84999;2;YU
